event_id,customer_id,event_type,event_time,session_id,page_url
1,1662,add_to_cart,2024-03-17 16:29:17,3a933ec6-11b2-4081-9413-e26e106a1755,app
2,522,add_to_cart,2024-02-04 03:06:58,513c115a-e922-4aa1-ad01-df08b76f988c,tags/app/search
3,1266,add_to_cart,2024-03-04 11:03:37,fa2fe660-2d7a-4da2-8714-1762e6d417c6,posts/tag
4,1352,page_view,2024-01-27 06:50:18,1368adea-ed1f-43c8-bb92-ef045970359b,list/app
5,89,logout,2024-03-25 00:29:51,1560f5a4-9904-49cf-b5aa-4b5e3b1ea2a6,app
6,1133,search,2024-03-13 12:02:52,82d2df77-32be-4282-b422-44dc7395eefa,app
7,457,click_ad,2024-01-23 05:17:49,b7f5f266-8ea0-4496-9bf0-1a6dea28757b,tags/main/explore
8,101,page_view,2024-03-07 08:19:28,c9c91bdd-16b3-4dcc-950e-6dd47c1050ba,posts/explore
9,1135,search,2024-02-03 14:47:08,0c53a926-9ced-44bf-b821-010b2ab7d6c1,category/tags/main
10,1371,click_ad,2024-03-14 02:25:47,bba37d7f-74b5-49c4-9c90-343696cd9d09,explore
11,304,logout,2024-01-05 06:20:51,1cc91935-c4dc-48da-8da0-1646f1d313bd,posts/app/categories
12,884,search,2024-02-16 23:58:21,9e047c60-1646-4077-acd5-92ae5aed1eb5,search/category/list
13,128,logout,2024-01-21 01:35:04,59eb4d33-6bc1-4574-923b-bed117334ff5,tags/list
14,495,search,2024-03-19 04:47:11,e0288164-1661-4ba1-806f-3baf6bd0b674,tags
15,1510,purchase,2024-02-17 23:43:03,88afcee8-daf7-40ad-9ac7-4cf64935e27b,list/tag
16,373,purchase,2024-01-21 17:32:33,9baf765c-0ffb-4af0-88ec-c6d4d3cb9d7c,posts/explore/posts
17,15,add_to_cart,2024-03-17 10:50:45,c571ca43-090d-4446-830d-c0f1f577de9a,tag
18,440,logout,2024-03-21 16:07:16,652a9df3-e654-4186-b433-e635c9e78451,list
19,229,logout,2024-03-14 05:38:35,fd37e9c0-508a-425f-a1e4-b01c7f71dd0a,main/list
20,661,logout,2024-03-01 05:39:11,987bccca-1907-43e5-93d3-c811e1174f1b,wp-content/posts
21,537,page_view,2024-03-23 18:12:28,3041f7c1-d6c1-4843-aabc-8cd53065a6eb,explore
22,1755,click_ad,2024-02-28 14:30:53,d7e7b824-e8e5-4b51-b23b-1610832b3ccd,wp-content/tag/blog
23,646,search,2024-01-28 17:01:20,071eecc4-6067-4ef5-9dca-e0a0b58960d9,blog/explore
24,412,purchase,2024-02-08 19:40:10,5adad173-a94c-43e1-a2a0-76eabba482dd,posts/list/wp-content
25,1158,click_ad,2024-01-07 14:00:00,ad5552ed-dd22-4786-a46d-a6fc1bcf2068,list
26,1384,click_ad,2024-03-27 21:32:40,211d6b20-3820-44c4-924b-befec9861006,tags/categories/search
27,16,page_view,2024-03-05 02:35:51,2f4d5b5f-ce31-4c8f-82bc-8128ae17a828,explore/category
28,1321,search,2024-03-19 13:15:18,80813c77-1df9-4dcb-8a6a-3a8bd23fbb8c,category
29,761,click_ad,2024-01-28 14:06:32,ea15e78d-90bd-4e8e-a87c-9f98badffca8,explore
30,337,page_view,2024-03-24 17:42:26,4ae8b3e1-f590-4855-a2ee-f686031ca9f4,main
31,1206,logout,2024-03-23 20:06:26,c2fd3ff2-7a45-4b51-8d68-7adeb1551a7e,posts/wp-content
32,1938,logout,2024-03-22 00:00:57,fb93c97b-b97b-474e-8f92-34e62b831c77,tag/wp-content
33,1958,search,2024-02-24 16:49:41,2cab6b85-d68f-4db7-82ba-6f4ebd31f640,tags/app
